,id,Station,Boro,2019,2023,GTFS Stop ID,Station ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,Lat,Long,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,POINT,BLOCK GROUP,TRACT,DISTANCE
0,119,1 Av (L),M,"5,345,371","5,745,700",L06,119,BMT,Canarsie,1 Av,M,TRUE,L,Subway,40.730953,-73.981628,West Side,Brooklyn,1,1,1,,POINT (-73.981628 40.730953),POINT (-73.981628 40.730953),360610034004,36061003400,0.024064189016045363
1,309,103 St (1),M,"3,766,055","2,892,314",119,309,IRT,Broadway - 7Av,103 St,M,FALSE,1,Subway,40.799446,-73.968379,Uptown,Downtown,0,0,0,,POINT (-73.968379 40.799446),POINT (-73.968379 40.799446),360610191006,36061019100,0.04720552676329569
2,395,103 St (6),M,"4,039,570","2,601,308",624,395,IRT,Lexington Av,103 St,M,FALSE,6,Subway,40.7906,-73.947478,The Bronx,Downtown,0,0,0,,POINT (-73.947478 40.7906),POINT (-73.947478 40.7906),360610166001,36061016600,0.05107197356671489
3,156,"103 St (B,C)",M,"1,498,363","1,033,211",A18,156,IND,8th Av - Fulton St,103 St,M,FALSE,C B,Subway,40.796092,-73.961454,Uptown,Downtown,0,0,0,,POINT (-73.961454 40.796092),POINT (-73.961454 40.796092),360610189002,36061018900,0.04695852403983541
4,450,103 St-Corona Plaza (7),Q,"6,399,657","6,460,459",706,450,IRT,Flushing,103 St-Corona Plaza,Q,FALSE,7,Elevated,40.749865,-73.8627,Outbound,Manhattan,0,0,0,,POINT (-73.8627 40.749865),POINT (-73.8627 40.749865),360810405011,36081040501,0.12140445306906077
5,193,104 St (A),Q,"536,924","363,436",A63,193,IND,Liberty Av,104 St,Q,FALSE,A,Elevated,40.681711,-73.837683,Manhattan,Ozone Park,0,0,0,,POINT (-73.837683 40.681711),POINT (-73.837683 40.681711),360810094001,36081009400,0.16360102142101313
6,82,"104 St (J,Z)",Q,"774,888","591,761",J14,82,BMT,Jamaica,104 St,Q,FALSE,J Z,Elevated,40.695178,-73.84433,Jamaica,Manhattan,0,0,0,,POINT (-73.84433 40.695178),POINT (-73.84433 40.695178),360810026002,36081002600,0.1519026865595167
7,394,110 St (6),M,"3,316,061","2,096,322",623,394,IRT,Lexington Av,110 St,M,FALSE,6,Subway,40.79502,-73.94425,The Bronx,Downtown,0,0,0,,POINT (-73.94425 40.79502),POINT (-73.94425 40.79502),360610172001,36061017200,0.05647722461311262
8,449,111 St (7),Q,"3,836,999","2,098,984",705,449,IRT,Flushing,111 St,Q,FALSE,7,Elevated,40.75173,-73.855334,Outbound,Manhattan,0,0,0,,POINT (-73.855334 40.75173),POINT (-73.855334 40.75173),360810401022,36081040102,0.12870504440774194
9,194,111 St (A),Q,"760,163","466,344",A64,194,IND,Liberty Av,111 St,Q,FALSE,A,Elevated,40.684331,-73.832163,Manhattan,Ozone Park,0,0,0,,POINT (-73.832163 40.684331),POINT (-73.832163 40.684331),360810096001,36081009600,0.1674349376026401
10,81,111 St (J),Q,"350,344","453,695",J13,81,BMT,Jamaica,111 St,Q,FALSE,J,Elevated,40.697418,-73.836345,Jamaica,Manhattan,0,0,0,,POINT (-73.836345 40.697418),POINT (-73.836345 40.697418),360810130002,36081013000,0.15844929582992826
11,440,"116 St (2,3)",M,"3,345,661","2,014,762",226,440,IRT,Lenox - White Plains Rd,116 St,M,FALSE,2 3,Subway,40.802098,-73.949625,Uptown,Downtown,0,0,0,,POINT (-73.949625 40.802098),POINT (-73.949625 40.802098),360610190002,36061019000,0.058389141362071406
12,393,116 St (6),M,"4,572,453","2,766,817",622,393,IRT,Lexington Av,116 St,M,FALSE,6,Subway,40.798629,-73.941617,The Bronx,Downtown,0,0,0,,POINT (-73.941617 40.798629),POINT (-73.941617 40.798629),360610182003,36061018200,0.06089781712015624
13,154,"116 St (B,C)",M,"2,288,111","1,459,488",A16,154,IND,8th Av - Fulton St,116 St,M,FALSE,C B,Subway,40.805085,-73.954882,Uptown,Downtown,0,0,0,,POINT (-73.954882 40.805085),POINT (-73.954882 40.805085),360610218004,36061021800,0.058020618309353796
14,307,116 St-Columbia University (1),M,"4,380,469","3,416,295",117,307,IRT,Broadway - 7Av,116 St-Columbia University,M,FALSE,1,Subway,40.807722,-73.96411,Uptown,Downtown,0,0,0,,POINT (-73.96411 40.807722),POINT (-73.96411 40.807722),360610205002,36061020500,0.05644267697407239
15,80,"121 St (J,Z)",Q,"675,500","476,966",J12,80,BMT,Jamaica,121 St,Q,FALSE,J Z,Elevated,40.700492,-73.828294,Jamaica,Manhattan,0,0,0,,POINT (-73.828294 40.700492),POINT (-73.828294 40.700492),360810144001,36081014400,0.16493813658459552
16,306,125 St (1),M,"2,368,025","1,986,493",116,306,IRT,Broadway - 7Av,125 St,M,FALSE,1,Elevated,40.815581,-73.958372,Uptown,Downtown,0,0,0,,POINT (-73.958372 40.815581),POINT (-73.958372 40.815581),360610211002,36061021100,0.06587092032908125
17,439,"125 St (2,3)",M,"4,644,262","2,672,981",225,439,IRT,Lenox - White Plains Rd,125 St,M,FALSE,2 3,Subway,40.807754,-73.945495,Uptown,Downtown,0,0,0,,POINT (-73.945495 40.807754),POINT (-73.945495 40.807754),360610200002,36061020000,0.06539250982337674
18,392,"125 St (4,5,6)",M,"8,554,857","4,884,086",621,392,IRT,Lexington Av,125 St,M,FALSE,4 5 6,Subway,40.804138,-73.937594,The Bronx,Downtown,1,1,1,,POINT (-73.937594 40.804138),POINT (-73.937594 40.804138),360610196003,36061019600,0.06766016169060905
19,153,"125 St (A,B,C,D)",M,"9,208,598","5,543,346",A15,153,IND,8th Av - Fulton St,125 St,M,FALSE,A C B D,Subway,40.811109,-73.952343,Uptown,Downtown,1,1,1,,POINT (-73.952343 40.811109),POINT (-73.952343 40.811109),360610257001,36061025700,0.06451059858658899
20,438,"135 St (2,3)",M,"4,268,823","2,201,400",224,438,IRT,Lenox - White Plains Rd,135 St,M,FALSE,2 3,Subway,40.814229,-73.94077,Uptown,Downtown,1,1,1,,POINT (-73.94077 40.814229),POINT (-73.94077 40.814229),360610228002,36061022800,0.0734081953258577
21,152,"135 St (B,C)",M,"1,743,921","1,083,148",A14,152,IND,8th Av - Fulton St,135 St,M,FALSE,C B,Subway,40.817894,-73.947649,Uptown,Downtown,0,0,0,,POINT (-73.947649 40.817894),POINT (-73.947649 40.817894),360610217031,36061021703,0.0727299060703377
22,305,137 St-City College (1),M,"3,874,783","2,738,004",115,305,IRT,Broadway - 7Av,137 St-City College,M,FALSE,1,Subway,40.822008,-73.953676,Uptown,Downtown,0,0,0,,POINT (-73.953676 40.822008),POINT (-73.953676 40.822008),360610223012,36061022301,0.0736412156336331
23,391,"138 St-Grand Concourse (4,5)",Bx,"1,035,878","785,271",416,391,IRT,Jerome Av,138 St-Grand Concourse,Bx,FALSE,4 5,Subway,40.813224,-73.929849,Northbound,Manhattan,0,0,0,,POINT (-73.929849 40.813224),POINT (-73.929849 40.813224),360050051001,36005005100,0.07958655525274871
24,618,"14 St (A,C,E)/8 Av (L)",M,"14,239,275","10,863,467",A31,166,IND,8th Av - Fulton St,14 St,M,TRUE,A C E,Subway,40.740893,-74.00169,Uptown,Downtown,1,1,1,,POINT (-74.00169 40.740893),POINT (-74.00169 40.740893),360610081005,36061008100,0.022563956856013673
25,618,"14 St (A,C,E)/8 Av (L)",M,"14,239,275","10,863,467",L01,115,BMT,Canarsie,8 Av,M,TRUE,L,Subway,40.739777,-74.002578,Last Stop,Brooklyn,1,1,1,,POINT (-74.002578 40.739777),POINT (-74.002578 40.739777),360610083002,36061008300,0.02395510828613116
26,601,"14 St (F,M,1,2,3)/6 Av (L)",M,"14,736,035","11,328,347",132,322,IRT,Broadway - 7Av,14 St,M,TRUE,1 2 3,Subway,40.737826,-74.000201,Uptown,Downtown,1,1,1,,POINT (-74.000201 40.737826),POINT (-74.000201 40.737826),360610071002,36061007100,0.023537074520856197
27,601,"14 St (F,M,1,2,3)/6 Av (L)",M,"14,736,035","11,328,347",D19,229,IND,6th Av - Culver,14 St,M,TRUE,F M,Subway,40.738228,-73.996209,Uptown,Downtown,1,1,1,,POINT (-73.996209 40.738228),POINT (-73.996209 40.738228),360610081003,36061008100,0.02066434767903305
28,601,"14 St (F,M,1,2,3)/6 Av (L)",M,"14,736,035","11,328,347",L02,116,BMT,Canarsie,6 Av,M,TRUE,L,Subway,40.737335,-73.996786,West Side,Brooklyn,1,1,1,,POINT (-73.996786 40.737335),POINT (-73.996786 40.737335),360610063001,36061006300,0.021725814622242753
29,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"32,385,260","21,527,757",635,406,IRT,Lexington Av,14 St-Union Sq,M,TRUE,4 5 6,Subway,40.734673,-73.989951,Uptown,Downtown,0,0,0,,POINT (-73.989951 40.734673),POINT (-73.989951 40.734673),360610052001,36061005200,0.021084257871693254
30,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"32,385,260","21,527,757",L03,117,BMT,Canarsie,14 St-Union Sq,M,TRUE,L,Subway,40.734789,-73.99073,West Side,Brooklyn,1,1,1,,POINT (-73.99073 40.734789),POINT (-73.99073 40.734789),360610061003,36061006100,0.021207197386737858
31,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"32,385,260","21,527,757",R20,15,BMT,Broadway - Brighton,14 St-Union Sq,M,TRUE,N Q R W,Subway,40.735736,-73.990568,Uptown,Downtown,1,1,1,,POINT (-73.990568 40.735736),POINT (-73.990568 40.735736),360610052001,36061005200,0.020258270409881526
32,304,145 St (1),M,"2,936,613","2,100,654",114,304,IRT,Broadway - 7Av,145 St,M,FALSE,1,Subway,40.826551,-73.95036,Uptown,Downtown,0,0,0,,POINT (-73.95036 40.826551),POINT (-73.95036 40.826551),360610229003,36061022900,0.07915500869180554
33,437,145 St (3),M,"954,825","574,727",302,437,IRT,Lenox - White Plains Rd,145 St,M,FALSE,3,Subway,40.820421,-73.936245,Harlem,Downtown,0,0,0,,POINT (-73.936245 40.820421),POINT (-73.936245 40.820421),360610232001,36061023200,0.08107737949638018
34,151,"145 St (A,B,C,D)",M,"7,464,653","4,678,774",A12,151,IND,8th Av - Fulton St,145 St,M,FALSE,A C,Subway,40.824783,-73.944216,Uptown,Downtown,0,0,0,,POINT (-73.944216 40.824783),POINT (-73.944216 40.824783),360610231002,36061023100,0.08041393128680756
35,151,"145 St (A,B,C,D)",M,"7,464,653","4,678,774",D13,151,IND,Concourse,145 St,M,FALSE,B D,Subway,40.824783,-73.944216,Uptown,Downtown,0,0,0,,POINT (-73.944216 40.824783),POINT (-73.944216 40.824783),360610231002,36061023100,0.08041393128680756
36,603,"149 St-Grand Concourse (2,4,5)",Bx,"3,931,908","2,087,779",222,435,IRT,Lenox - White Plains Rd,149 St-Grand Concourse,Bx,FALSE,2 5,Subway,40.81841,-73.926718,Northbound,Manhattan,0,0,0,,POINT (-73.926718 40.81841),POINT (-73.926718 40.81841),360050061004,36005006100,0.08552629785042838
37,603,"149 St-Grand Concourse (2,4,5)",Bx,"3,931,908","2,087,779",415,390,IRT,Jerome Av,149 St-Grand Concourse,Bx,FALSE,4,Subway,40.818375,-73.927351,Northbound,Manhattan,0,0,0,,POINT (-73.927351 40.818375),POINT (-73.927351 40.818375),360050051001,36005005100,0.08507752244864512
38,241,"15 St-Prospect Park (F,G)",B,"1,964,534","1,390,166",F25,241,IND,6th Av - Culver,15 St-Prospect Park,Bk,FALSE,F G,Subway,40.660365,-73.979493,Northbound,Southbound,0,0,0,,POINT (-73.979493 40.660365),POINT (-73.979493 40.660365),360470169001,36047016900,0.09464237567812844
39,220,"155 St (B,D)",M,"1,123,868","585,619",D12,220,IND,Concourse,155 St,M,FALSE,B D,Subway,40.830135,-73.938209,The Bronx,Downtown,0,0,0,,POINT (-73.938209 40.830135),POINT (-73.938209 40.830135),360610243021,36061024302,0.08807451905062755
40,150,155 St (C),M,"895,036","539,511",A11,150,IND,8th Av - Fulton St,155 St,M,FALSE,C,Subway,40.830518,-73.941514,Uptown,Downtown,0,0,0,,POINT (-73.941514 40.830518),POINT (-73.941514 40.830518),360610235011,36061023501,0.08673604856113468
41,303,157 St (1),M,"3,739,786","2,288,380",113,303,IRT,Broadway - 7Av,157 St,M,FALSE,1,Subway,40.834041,-73.94489,Uptown,Downtown,0,0,0,,POINT (-73.94489 40.834041),POINT (-73.94489 40.834041),360610241004,36061024100,0.08827734692999953
42,604,"161 St-Yankee Stadium (B,D,4)",Bx,"8,254,928","5,316,351",414,389,IRT,Jerome Av,161 St-Yankee Stadium,Bx,FALSE,4,Elevated,40.827994,-73.925831,Northbound,Manhattan,1,1,1,,POINT (-73.925831 40.827994),POINT (-73.925831 40.827994),360050063021,36005006302,0.09341501697799318
43,604,"161 St-Yankee Stadium (B,D,4)",Bx,"8,254,928","5,316,351",D11,219,IND,Concourse,161 St-Yankee Stadium,Bx,FALSE,B D,Subway,40.827905,-73.925651,Northbound,Manhattan,1,1,1,,POINT (-73.925651 40.827905),POINT (-73.925651 40.827905),360050195002,36005019500,0.09345766863130833
44,149,163 St-Amsterdam Av (C),M,"1,390,312","840,255",A10,149,IND,8th Av - Fulton St,163 St-Amsterdam Av,M,FALSE,C,Subway,40.836013,-73.939892,Uptown,Downtown,0,0,0,,POINT (-73.939892 40.836013),POINT (-73.939892 40.836013),360610243013,36061024301,0.09233002996316972
45,388,167 St (4),Bx,"2,653,237","1,901,393",413,388,IRT,Jerome Av,167 St,Bx,FALSE,4,Elevated,40.835537,-73.9214,Northbound,Manhattan,0,0,0,,POINT (-73.9214 40.835537),POINT (-73.9214 40.835537),360050197003,36005019700,0.1020837194120547
46,218,"167 St (B,D)",Bx,"2,734,530","1,411,144",D10,218,IND,Concourse,167 St,Bx,FALSE,B D,Subway,40.833771,-73.91844,Northbound,Manhattan,0,0,0,,POINT (-73.91844 40.833771),POINT (-73.91844 40.833771),360050197005,36005019700,0.10256094890843542
47,605,"168 St (A,C,1)",M,"6,156,288","5,161,102",112,302,IRT,Broadway - 7Av,168 St-Washington Hts,M,FALSE,1,Subway,40.840556,-73.940133,Uptown,Downtown,0,0,0,,POINT (-73.940133 40.840556),POINT (-73.940133 40.840556),360610251001,36061025100,0.09623546136949361
48,605,"168 St (A,C,1)",M,"6,156,288","5,161,102",A09,148,IND,8th Av - Fulton St,168 St,M,FALSE,A C,Subway,40.840719,-73.939561,Uptown,Downtown,1,1,1,,POINT (-73.939561 40.840719),POINT (-73.939561 40.840719),360610251002,36061025100,0.09664225515787524
49,255,169 St (F),Q,"2,465,120","1,627,817",F02,255,IND,Queens Blvd,169 St,Q,FALSE,F,Subway,40.71047,-73.793604,Jamaica,Manhattan,0,0,0,,POINT (-73.793604 40.71047),POINT (-73.793604 40.71047),360810460001,36081046000,0.1955112828355363
50,387,170 St (4),Bx,"2,487,611","1,448,193",412,387,IRT,Jerome Av,170 St,Bx,FALSE,4,Elevated,40.840075,-73.917791,Northbound,Manhattan,1,1,1,,POINT (-73.917791 40.840075),POINT (-73.917791 40.840075),360050221012,36005022101,0.10788147341411318
51,217,"170 St (B,D)",Bx,"2,130,461","1,001,022",D09,217,IND,Concourse,170 St,Bx,FALSE,B D,Subway,40.839306,-73.9134,Northbound,Manhattan,0,0,0,,POINT (-73.9134 40.839306),POINT (-73.9134 40.839306),360050225004,36005022500,0.11003968754953852
52,428,"174 St (2,5)",Bx,"2,057,118","1,118,781",215,428,IRT,Lenox - White Plains Rd,174 St,Bx,FALSE,2 5,Elevated,40.837288,-73.887734,Northbound,Manhattan,0,0,0,,POINT (-73.887734 40.837288),POINT (-73.887734 40.837288),360050161004,36005016100,0.12670803171070202
53,216,"174-175 Sts (B,D)",Bx,"1,518,260","774,167",D08,216,IND,Concourse,174-175 Sts,Bx,FALSE,B D,Subway,40.8459,-73.910136,Northbound,Manhattan,0,0,0,,POINT (-73.910136 40.8459),POINT (-73.910136 40.8459),360050229011,36005022901,0.1172044815525424
54,147,175 St (A),M,"4,182,625","2,258,838",A07,147,IND,8th Av - Fulton St,175 St,M,FALSE,A,Subway,40.847391,-73.939704,Uptown,Downtown,1,1,1,,POINT (-73.939704 40.847391),POINT (-73.939704 40.847391),360610263005,36061026300,0.10255106385113445
