BLOCK GROUP,JOBS
340010001001,1992
340010001002,454
340010002001,429
340010002002,354
340010002003,380
340010003001,402
340010003002,1424
340010003003,808
340010004001,1608
340010004002,324
340010004003,28803
340010005001,1079
340010005002,917
340010011001,103
340010011002,164
340010012001,1378
340010012002,3074
340010012003,7808
340010013001,2980
340010013002,1403
340010014001,58762
340010014002,533
340010014003,756
340010015001,1280
340010015002,1053
340010019001,111
340010019002,20983
340010023001,19036
340010023002,5626
340010024001,2821
340010024002,70037
340010024003,37330
340010024004,26887
340010025001,4162
340010025002,285
340010025003,3887
340010025004,1730
340010101011,1295
340010101012,557
340010101013,86
340010101014,220
340010101021,2362
340010101022,64
340010101023,2581
340010101041,80
340010101042,2986
340010101051,189
340010101052,37
340010101053,1288
340010102001,2455
340010102002,2712
340010102003,5327
340010102004,172
340010102005,3132
340010103001,5734
340010103002,2610
340010104011,17164
340010104012,11925
340010104013,7103
340010104031,1767
340010104032,882
340010104033,5350
340010105011,3783
340010105012,902
340010105013,2163
340010105014,1889
340010105031,95
340010105032,200
340010105033,163
340010105034,6455
340010105051,1677
340010105052,4567
340010105061,1752
340010105062,3273
340010105063,7244
340010106001,8175
340010106002,3717
340010106003,1631
340010106004,990
340010107001,1445
340010107002,250
340010107003,4980
340010107004,750
340010108001,8180
340010108002,6379
340010109001,6048
340010109002,5542
340010109003,7154
340010110001,1604
340010110002,12292
340010111001,6167
340010111002,2715
340010111003,1730
340010112011,7521
340010112012,662
340010112021,3672
340010112022,4107
340010112023,1519
340010112024,2686
340010113001,3114
340010113002,1633
340010113003,1214
340010114011,2953
340010114012,9403
340010114013,1354
340010114031,14054
340010114032,387
340010114033,9823
340010114041,1479
340010114042,25369
340010114043,726
340010114044,7312
340010115001,535
340010115002,534
340010115003,2469
340010116001,2283
340010116002,1111
340010116003,1093
340010117021,16344
340010117022,10971
340010117031,2689
340010117032,10103
340010117033,6822
340010117041,3543
340010117042,20056
340010118031,15261
340010118032,14401
340010118033,4396
340010118041,2163
340010118042,3389
340010118043,5929
340010118051,2027
340010118061,1062
340010118062,1666
340010118063,494
340010118071,577
340010118072,6737
340010118073,1327
340010118081,1197
340010118082,5626
340010119011,3432
340010119012,3799
340010119021,4804
340010119022,13564
340010120001,374
340010120002,8651
340010121001,4991
340010121002,1785
340010122001,2932
340010122002,1261
340010122003,7045
340010123021,2960
340010123022,11579
340010124011,4797
340010124012,3537
340010124021,1695
340010124022,6460
340010125011,5022
340010125012,3431
340010125021,3377
340010125022,5966
340010126021,1062
340010127011,4886
340010127012,99
340010127013,635
340010127021,2568
340010128011,5818
340010128012,9016
340010128021,5822
340010128022,16256
340010130001,3337
340010130002,1486
340010130003,242
340010130004,2156
340010131011,1118
340010131021,275
340010131022,4835
340010131023,2068
340010132011,1381
340010132012,225
340010132013,2343
340010132021,753
340010132022,250
340010133011,119
340010133012,623
340010133013,2299
340010133021,406
340010133022,1040
340010133023,1377
340010135001,445
340010135002,284
340010135003,1828
340019834001,11515
340030010011,14261
340030010012,5370
340030010013,1583
340030010021,3065
340030010022,2743
340030021001,2103
340030021002,1411
340030022001,3647
340030022002,36966
340030022003,3303
340030022004,522
340030023001,3143
340030023002,9691
340030023003,6223
340030031001,107
340030031002,220
340030031003,341
340030031004,247
340030031005,178
340030032001,4048
340030032002,3396
340030032003,5131
340030032004,4981
340030032005,2109
340030033001,139
340030033002,32
340030033003,911
340030033004,791
340030033005,451
340030033006,3085
340030034011,422
340030034012,383
340030034021,1218
340030034022,2868
340030034023,284
340030035001,54
340030035002,890
340030035003,500
340030040011,2541
340030040012,2798
340030040021,687
340030040022,417
340030040023,469
340030040024,1795
340030050001,7103
340030050002,1047
340030050003,1162
340030050004,2132
340030050005,80293
340030061011,737
340030061012,550
340030061013,670
340030061014,354
340030061021,988
340030061022,1062
340030061023,1998
340030062011,1963
340030062012,2865
340030062013,615
340030062014,2223
340030062021,1174
340030062022,555
340030062023,631
340030062024,337
340030063011,998
340030063012,490
340030063013,2056
340030063021,195
340030063022,490
340030063023,143
340030063024,549
340030070011,1052
340030070012,8228
340030070021,606
340030070022,620
340030070023,14998
340030070024,2614
340030080011,797
340030080012,6809
340030080013,2459
340030080021,3028
340030080022,889
340030080023,1903
340030091001,2158
340030091002,2125
340030091003,1017
340030091004,1599
340030092001,595
340030092002,2509
340030092003,3263
340030101001,104
340030101002,320
340030101003,1183
340030101004,102
340030101005,726
340030101006,205
340030101007,1546
340030102001,2087
340030102002,4055
340030102003,5723
340030102004,90
340030102005,397
340030103001,117
340030103002,542
340030103003,748
340030103004,39
340030103005,305
340030103006,101
340030103007,1204
340030111001,1221
340030111002,246
340030111003,1964
340030111004,1341
340030112001,80
340030112002,239
340030112003,2107
340030112004,380
340030113001,18777
340030113002,1352
340030113003,2881
340030113004,1343
340030114001,3841
340030114002,1127
340030114003,10027
340030114004,17664
340030114005,2064
340030120011,3212
340030120012,1174
340030120013,99256
340030120014,3250
340030120021,8000
340030120022,1957
340030120023,664
340030130021,1279
340030130022,2701
340030130023,1234
340030130024,5400
340030130031,23243
340030130041,2424
340030130042,5022
340030130043,1820
340030140001,7490
340030140002,1621
340030140003,4273
340030140004,1466
340030140005,1388
340030140006,3676
340030151001,2423
340030151002,2649
340030151003,1291
340030152001,36477
340030152002,468
340030152003,1190
340030152004,1224
340030152005,46
340030152006,63
340030153001,3456
340030153002,119
340030153003,414
340030153004,111
340030154011,4517
340030154012,25154
340030154013,11556
340030154021,9892
340030154022,33634
340030155001,1784
340030155002,166
340030155003,348
340030155004,2112
340030155005,541
340030155006,704
340030160001,366
340030160002,2792
340030160003,13005
340030160004,2194
340030160005,43886
340030160006,17770
340030171011,756
340030171012,162
340030171013,540
340030171014,205
340030171015,1149
340030171021,212
340030171022,760
340030172001,16021
340030172002,1172
340030172003,6316
340030172004,7508
340030172005,6832
340030172006,4025
340030173011,627
340030173012,283
340030173013,3536
340030173021,2562
340030173022,3698
340030173023,63
340030174001,3542
340030174002,2366
340030174003,3370
340030174004,987
340030174005,1824
340030175011,5680
340030175012,13761
340030175013,3622
340030175014,1483
340030175021,1155
340030175022,2193
340030175023,5025
340030181011,588
340030181012,1961
340030181013,292
340030181014,1822
340030181021,3462
340030181022,662
340030182001,700
340030182002,725
340030182003,3027
340030182004,6644
340030182005,784
340030191021,4437
340030191022,8330
340030191031,3981
340030191032,186
340030191033,69
340030191034,3934
340030191041,900
340030191042,7676
340030191043,5136
340030191044,554
340030192021,21687
340030192031,17051
340030192032,550
340030192033,3792
340030192041,1701
340030192042,3590
340030192043,1484
340030193031,4458
340030193032,1898
340030193033,1917
340030193034,578
340030193041,335
340030193042,217
340030193043,532
340030193051,4499
340030193052,895
340030193053,277
340030193061,2304
340030201001,2041
340030201002,23383
340030201003,6102
340030202001,4600
340030202002,2739
340030202003,6604
340030211011,265
340030211012,237
340030211013,175
340030211014,1015
340030211021,372
340030211022,7764
340030211023,294
340030212001,2904
340030212002,578
340030212003,365
340030212004,263
340030212005,5573
340030212006,844
340030213001,439
340030213002,753
340030213003,598
340030213004,4381
340030214001,892
340030214002,937
340030214003,801
340030214004,3633
340030215001,231
340030215002,7161
340030215003,473
340030215004,2644
340030215005,739
340030215006,588
340030216001,400
340030216002,94
340030216003,1125
340030216004,1018
340030221001,554
340030221002,164
340030221003,3942
340030222001,699
340030222002,1307
340030222003,288
340030222004,7820
340030222005,510
340030222006,9432
340030222007,1887
340030231001,51328
340030231002,57114
340030232011,453
340030232012,629
340030232013,64
340030232014,712
340030232021,270
340030232022,1329
340030232023,6637
340030233011,649
340030233012,234
340030233013,323
340030233031,32
340030233032,2150
340030233033,253
340030233041,1819
340030233042,1140
340030234011,3693
340030234012,751
340030234013,395
340030234021,72522
340030234022,18870
340030234023,1533
340030234024,897
340030234025,1480
340030235011,2956
340030235012,13362
340030235021,8022
340030235022,5444
340030235023,1517
340030236011,5409
340030236012,616
340030236013,7995
340030236021,28213
340030236022,13987
340030236023,8972
340030241001,3025
340030241002,549
340030241003,2951
340030241004,4401
340030242001,127
340030242002,756
340030242003,1488
340030242004,1569
340030242005,78
340030251001,6187
340030251002,2519
340030251003,411
340030251004,3928
340030251005,7902
340030251006,301
340030252001,2982
340030252002,1349
340030252003,1585
340030252004,2470
340030252005,475
340030252006,231
340030261001,3071
340030261002,102
340030261003,888
340030261004,516
340030262001,2187
340030262002,555
340030262003,491
340030262004,2286
340030262005,5972
340030270001,475
340030270002,5852
340030270003,1128
340030270004,2058
340030280011,12501
340030280012,1233
340030280013,173
340030280014,149
340030280015,1205
340030280021,301
340030280022,689
340030280023,266
340030280024,545
340030291001,1313
340030291002,2940
340030291003,2922
340030292001,10828
340030292002,4317
340030292003,6021
340030292004,483
340030292005,815
340030301001,10109
340030301002,5540
340030301003,1909
340030301004,3148
340030301005,1997
340030302011,323
340030302012,280
340030302013,71
340030302014,1022
340030302021,2067
340030302022,946
340030302023,2511
340030303001,358
340030303002,780
340030303003,6118
340030303004,1467
340030303005,5733
340030304011,233
340030304012,56
340030304013,40
340030304014,314
340030304021,326
340030304022,1020
340030304023,811
340030304024,386
340030311001,478
340030311002,2581
340030311003,3727
340030311004,55630
340030312001,2151
340030312002,664
340030312003,3277
340030312004,916
340030312005,726
340030313001,2607
340030313002,311
340030313003,875
340030313004,268
340030313005,410
340030313006,714
340030314001,3291
340030314002,2972
340030314003,6768
340030314004,1091
340030314005,2178
340030314006,2692
340030321021,2644
340030321022,7022
340030321023,1610
340030321031,31256
340030321032,2249
340030321033,28599
340030321041,5116
340030321042,14239
340030322011,858
340030322012,15588
340030322013,317
340030322021,5066
340030322022,1924
340030322023,5782
340030322024,960
340030331001,1877
340030331002,887
340030331003,294
340030331004,1958
340030332001,4125
340030332002,1973
340030332003,10262
340030333001,1015
340030333002,4050
340030333003,134
340030333004,1393
340030340011,4469
340030340012,3831
340030340013,8671
340030340021,515
340030340022,1938
340030340023,3247
340030340024,1385
340030351001,562
340030351002,27002
340030351003,2969
340030351004,6463
340030351005,44235
340030352001,1580
340030352002,1350
340030352003,928
340030352004,42810
340030352005,2588
340030361001,109196
340030361002,1840
340030362001,34036
340030362002,26294
340030371001,79
340030371002,748
340030371003,5115
340030371004,918
340030371005,785
