TRACT,JOBS
34001000100,2446
34001000200,1163
34001000300,2634
34001000400,30735
34001000500,1996
34001001100,267
34001001200,12260
34001001300,4383
34001001400,60051
34001001500,2333
34001001900,21094
34001002300,24662
34001002400,137075
34001002500,10064
34001010101,2158
34001010102,5007
34001010104,3066
34001010105,1514
34001010200,13798
34001010300,8344
34001010401,36192
34001010403,7999
34001010501,8737
34001010503,6913
34001010505,6244
34001010506,12269
34001010600,14513
34001010700,7425
34001010800,14559
34001010900,18744
34001011000,13896
34001011100,10612
34001011201,8183
34001011202,11984
34001011300,5961
34001011401,13710
34001011403,24264
34001011404,34886
34001011500,3538
34001011600,4487
34001011702,27315
34001011703,19614
34001011704,23599
34001011803,34058
34001011804,11481
34001011805,2027
34001011806,3222
34001011807,8641
34001011808,6823
34001011901,7231
34001011902,18368
34001012000,9025
34001012100,6776
34001012200,11238
34001012302,14539
34001012401,8334
34001012402,8155
34001012501,8453
34001012502,9343
34001012602,1062
34001012701,5620
34001012702,2568
34001012801,14834
34001012802,22078
34001013000,7221
34001013101,1118
34001013102,7178
34001013201,3949
34001013202,1003
34001013301,3041
34001013302,2823
34001013500,2557
34001983400,11515
34003001001,21214
34003001002,5808
34003002100,3514
34003002200,44438
34003002300,19057
34003003100,1093
34003003200,19665
34003003300,5409
34003003401,805
34003003402,4370
34003003500,1444
34003004001,5339
34003004002,3368
34003005000,91737
34003006101,2311
34003006102,4048
34003006201,7666
34003006202,2697
34003006301,3544
34003006302,1377
34003007001,9280
34003007002,18838
34003008001,10065
34003008002,5820
34003009100,6899
34003009200,6367
34003010100,4186
34003010200,12352
34003010300,3056
34003011100,4772
34003011200,2806
34003011300,24353
34003011400,34723
34003012001,106892
34003012002,10621
34003013002,10614
34003013003,23243
34003013004,9266
34003014000,19914
34003015100,6363
34003015200,39468
34003015300,4100
34003015401,41227
34003015402,43526
34003015500,5655
34003016000,80013
34003017101,2812
34003017102,972
34003017200,41874
34003017301,4446
34003017302,6323
34003017400,12089
34003017501,24546
34003017502,8373
34003018101,4663
34003018102,4124
34003018200,11880
34003019102,12767
34003019103,8170
34003019104,14266
34003019202,21687
34003019203,21393
34003019204,6775
34003019303,8851
34003019304,1084
34003019305,5671
34003019306,2304
34003020100,31526
34003020200,13943
34003021101,1692
34003021102,8430
34003021200,10527
34003021300,6171
34003021400,6263
34003021500,11836
34003021600,2637
34003022100,4660
34003022200,21943
34003023100,108442
34003023201,1858
34003023202,8236
34003023301,1206
34003023303,2435
34003023304,2959
34003023401,4839
34003023402,95302
34003023501,16318
34003023502,14983
34003023601,14020
34003023602,51172
34003024100,10926
34003024200,4018
34003025100,21248
34003025200,9092
34003026100,4577
34003026200,11491
34003027000,9513
34003028001,15261
34003028002,1801
34003029100,7175
34003029200,22464
34003030100,22703
34003030201,1696
34003030202,5524
34003030300,14456
34003030401,643
34003030402,2543
34003031100,62416
34003031200,7734
34003031300,5185
34003031400,18992
34003032102,11276
34003032103,62104
34003032104,19355
34003032201,16763
34003032202,13732
34003033100,5016
34003033200,16360
34003033300,6592
34003034001,16971
34003034002,7085
34003035100,81231
34003035200,49256
34003036100,111036
34003036200,60330
34003037100,8370
34003037201,3229
34003037203,5860
34003037204,1428
34003038100,19636
34003038200,6538
34003038300,4254
34003039100,12841
34003039200,2426
34003039300,27822
34003040001,8704
34003040002,13609
34003041100,12631
34003041200,2767
34003041301,9363
34003041302,3715
34003042101,9042
34003042102,13888
34003042301,24332
34003042302,94959
34003042400,59113
34003042500,129174
34003043001,8739
34003043002,12113
34003044100,13206
34003044201,11945
34003044202,55258
34003045101,4313
34003045102,5803
34003045200,28182
34003046100,26683
34003046200,6318
34003046300,12584
34003047100,37140
34003047200,1048
34003047300,2991
34003047400,52798
34003047500,9221
34003048100,26699
34003048200,4396
34003049001,3205
34003049002,10925
34003050000,32175
34003051100,4893
34003051200,1541
34003051300,28995
34003051400,38154
34003052100,60876
34003052200,32709
34003053100,4518
34003053201,17857
34003053202,5275
34003054101,3856
34003054102,8782
34003054200,15269
34003054300,4059
34003054400,19176
34003054500,38393
34003054601,2693
34003054602,42148
34003055100,16045
34003055201,2347
34003055202,12498
34003056100,6418
34003056200,19483
34003057101,4177
34003057102,8281
34003057200,3373
34003058100,2939
34003058200,7503
34003059100,27286
34003059200,4970
34003060001,10830
34003060002,5767
34003061100,14344
34003061200,14933
34003061300,10861
34003061400,5266
34005700102,4363
34005700103,1294
34005700104,5782
34005700200,4718
34005700303,39970
34005700304,6576
34005700305,13338
34005700306,3124
34005700307,1151
34005700401,6076
34005700402,1284
34005700403,9014
34005700405,7886
34005700407,18364
34005700408,4470
34005700501,45914
34005700502,52611
34005700503,14422
34005700504,26882
34005700505,38120
34005700602,11701
34005700603,28133
34005700605,4937
34005700701,1320
34005700702,2971
34005700703,1339
34005700800,21464
34005700900,2315
34005701001,6197
34005701002,12291
34005701102,19335
34005701103,50799
34005701104,8826
34005701105,36553
34005701201,7169
34005701203,12940
34005701204,4377
34005701205,13987
34005701301,42425
34005701302,2461
34005701303,14832
34005701401,17797
34005701402,1100
34005701502,7130
34005701700,7252
34005702101,803
34005702203,9317
34005702204,9301
34005702206,1718
34005702207,3538
34005702208,2673
34005702209,210
34005702210,13737
34005702300,1816
34005702400,7837
34005702500,8625
34005702601,7875
34005702603,16818
34005702701,21143
34005702702,26054
34005702801,257
34005702802,797
34005702803,216
34005702804,2529
34005702805,9560
34005702806,6845
34005702807,8955
34005702808,355
34005702809,686
34005702810,3543
34005702811,5453
34005702905,8360
34005702906,191361
34005702907,1505
34005702908,3529
34005702909,4362
34005702910,80616
34005702913,7234
34005702914,26138
34005702915,9932
34005702917,998
34005702918,303
34005703000,35138
34005703102,4335
34005703103,6033
34005703104,25310
34005703201,3254
34005703202,13864
34005703203,537
34005703600,8620
34005703700,10806
34005703801,24531
34005703802,25566
34005703803,11280
34005703804,6151
34005703900,4218
34005704004,63744
34005704005,40633
34005704006,57165
