,NAME,B01003_001E,B19013_001E,state,county,tract,block group,GEOID,GEOID_T
0,Block Group 2; Census Tract 1; Albany County; New York,1359.0,34766.0,36,001,000100,2,360010001002,36001000100
1,Block Group 1; Census Tract 2.01; Albany County; New York,184.0,38995.0,36,001,000201,1,360010002011,36001000201
2,Block Group 2; Census Tract 2.01; Albany County; New York,1663.0,-666666666.0,36,001,000201,2,360010002012,36001000201
3,Block Group 3; Census Tract 2.01; Albany County; New York,672.0,-666666666.0,36,001,000201,3,360010002013,36001000201
4,Block Group 1; Census Tract 2.02; Albany County; New York,1753.0,33737.0,36,001,000202,1,360010002021,36001000202
5,Block Group 2; Census Tract 2.02; Albany County; New York,683.0,-666666666.0,36,001,000202,2,360010002022,36001000202
6,Block Group 1; Census Tract 3.01; Albany County; New York,1249.0,46918.0,36,001,000301,1,360010003011,36001000301
7,Block Group 2; Census Tract 3.01; Albany County; New York,1129.0,-666666666.0,36,001,000301,2,360010003012,36001000301
8,Block Group 1; Census Tract 3.02; Albany County; New York,1560.0,36886.0,36,001,000302,1,360010003021,36001000302
9,Block Group 2; Census Tract 3.02; Albany County; New York,1713.0,72061.0,36,001,000302,2,360010003022,36001000302
10,Block Group 1; Census Tract 4.01; Albany County; New York,2321.0,85852.0,36,001,000401,1,360010004011,36001000401
11,Block Group 1; Census Tract 4.03; Albany County; New York,897.0,107981.0,36,001,000403,1,360010004031,36001000403
12,Block Group 2; Census Tract 4.03; Albany County; New York,1479.0,45298.0,36,001,000403,2,360010004032,36001000403
13,Block Group 3; Census Tract 4.03; Albany County; New York,1028.0,115710.0,36,001,000403,3,360010004033,36001000403
14,Block Group 4; Census Tract 4.03; Albany County; New York,727.0,78241.0,36,001,000403,4,360010004034,36001000403
15,Block Group 1; Census Tract 4.04; Albany County; New York,5303.0,59274.0,36,001,000404,1,360010004041,36001000404
16,Block Group 1; Census Tract 5.01; Albany County; New York,1155.0,-666666666.0,36,001,000501,1,360010005011,36001000501
17,Block Group 2; Census Tract 5.01; Albany County; New York,642.0,81667.0,36,001,000501,2,360010005012,36001000501
18,Block Group 3; Census Tract 5.01; Albany County; New York,1186.0,15809.0,36,001,000501,3,360010005013,36001000501
19,Block Group 4; Census Tract 5.01; Albany County; New York,1009.0,-666666666.0,36,001,000501,4,360010005014,36001000501
20,Block Group 1; Census Tract 5.02; Albany County; New York,1905.0,-666666666.0,36,001,000502,1,360010005021,36001000502
21,Block Group 2; Census Tract 5.02; Albany County; New York,1689.0,55475.0,36,001,000502,2,360010005022,36001000502
22,Block Group 1; Census Tract 6; Albany County; New York,407.0,-666666666.0,36,001,000600,1,360010006001,36001000600
23,Block Group 2; Census Tract 6; Albany County; New York,776.0,24567.0,36,001,000600,2,360010006002,36001000600
24,Block Group 3; Census Tract 6; Albany County; New York,1970.0,26345.0,36,001,000600,3,360010006003,36001000600
25,Block Group 1; Census Tract 7; Albany County; New York,1340.0,54109.0,36,001,000700,1,360010007001,36001000700
26,Block Group 2; Census Tract 7; Albany County; New York,975.0,45625.0,36,001,000700,2,360010007002,36001000700
27,Block Group 3; Census Tract 7; Albany County; New York,578.0,-666666666.0,36,001,000700,3,360010007003,36001000700
28,Block Group 4; Census Tract 7; Albany County; New York,851.0,45172.0,36,001,000700,4,360010007004,36001000700
29,Block Group 1; Census Tract 8; Albany County; New York,287.0,-666666666.0,36,001,000800,1,360010008001,36001000800
30,Block Group 2; Census Tract 8; Albany County; New York,799.0,-666666666.0,36,001,000800,2,360010008002,36001000800
31,Block Group 3; Census Tract 8; Albany County; New York,276.0,-666666666.0,36,001,000800,3,360010008003,36001000800
32,Block Group 1; Census Tract 11; Albany County; New York,2074.0,48898.0,36,001,001100,1,360010011001,36001001100
33,Block Group 1; Census Tract 14; Albany County; New York,1169.0,103125.0,36,001,001400,1,360010014001,36001001400
