,NAME,B01003_001E,B19013_001E,state,county,tract,GEOID
0,Census Tract 2.01; Albany County; New York,2519.0,37218.0,36,001,000201,36001000201
1,Census Tract 2.02; Albany County; New York,2436.0,34160.0,36,001,000202,36001000202
2,Census Tract 3.01; Albany County; New York,2378.0,45547.0,36,001,000301,36001000301
3,Census Tract 3.02; Albany County; New York,3273.0,54375.0,36,001,000302,36001000302
4,Census Tract 4.01; Albany County; New York,2321.0,85852.0,36,001,000401,36001000401
5,Census Tract 4.03; Albany County; New York,4131.0,85964.0,36,001,000403,36001000403
6,Census Tract 4.04; Albany County; New York,5303.0,59274.0,36,001,000404,36001000404
7,Census Tract 5.01; Albany County; New York,3992.0,17522.0,36,001,000501,36001000501
8,Census Tract 5.02; Albany County; New York,3594.0,56350.0,36,001,000502,36001000502
9,Census Tract 6; Albany County; New York,3153.0,25322.0,36,001,000600,36001000600
10,Census Tract 7; Albany County; New York,3744.0,52582.0,36,001,000700,36001000700
11,Census Tract 8; Albany County; New York,1362.0,28155.0,36,001,000800,36001000800
12,Census Tract 11; Albany County; New York,2074.0,48898.0,36,001,001100,36001001100
13,Census Tract 14; Albany County; New York,3594.0,70409.0,36,001,001400,36001001400
14,Census Tract 15; Albany County; New York,5664.0,47961.0,36,001,001500,36001001500
15,Census Tract 16; Albany County; New York,4607.0,62450.0,36,001,001600,36001001600
16,Census Tract 17; Albany County; New York,4768.0,85776.0,36,001,001700,36001001700
17,Census Tract 18.02; Albany County; New York,4201.0,71250.0,36,001,001802,36001001802
18,Census Tract 18.03; Albany County; New York,3583.0,92095.0,36,001,001803,36001001803
19,Census Tract 18.04; Albany County; New York,3692.0,105000.0,36,001,001804,36001001804
20,Census Tract 19.01; Albany County; New York,2596.0,90313.0,36,001,001901,36001001901
21,Census Tract 19.02; Albany County; New York,2562.0,101250.0,36,001,001902,36001001902
22,Census Tract 20; Albany County; New York,6769.0,77773.0,36,001,002000,36001002000
23,Census Tract 21; Albany County; New York,3574.0,38790.0,36,001,002100,36001002100
24,Census Tract 22; Albany County; New York,2466.0,46867.0,36,001,002200,36001002200
25,Census Tract 23; Albany County; New York,2015.0,48259.0,36,001,002300,36001002300
26,Census Tract 25; Albany County; New York,2653.0,36150.0,36,001,002500,36001002500
27,Census Tract 26; Albany County; New York,4901.0,70893.0,36,001,002600,36001002600
28,Census Tract 127; Albany County; New York,3586.0,69309.0,36,001,012700,36001012700
29,Census Tract 128; Albany County; New York,3892.0,35000.0,36,001,012800,36001012800
30,Census Tract 129; Albany County; New York,3645.0,50956.0,36,001,012900,36001012900
31,Census Tract 130; Albany County; New York,6920.0,83082.0,36,001,013000,36001013000
32,Census Tract 131; Albany County; New York,2966.0,70281.0,36,001,013100,36001013100
33,Census Tract 132; Albany County; New York,3231.0,49318.0,36,001,013200,36001013200
34,Census Tract 133; Albany County; New York,4043.0,55271.0,36,001,013300,36001013300
35,Census Tract 134; Albany County; New York,3011.0,73941.0,36,001,013400,36001013400
36,Census Tract 135.03; Albany County; New York,5306.0,114429.0,36,001,013503,36001013503
37,Census Tract 135.05; Albany County; New York,3164.0,93496.0,36,001,013505,36001013505
38,Census Tract 135.07; Albany County; New York,2377.0,89740.0,36,001,013507,36001013507
39,Census Tract 135.09; Albany County; New York,3272.0,90900.0,36,001,013509,36001013509
40,Census Tract 135.10; Albany County; New York,3556.0,100967.0,36,001,013510,36001013510
41,Census Tract 135.11; Albany County; New York,3559.0,134286.0,36,001,013511,36001013511
42,Census Tract 135.12; Albany County; New York,3917.0,118125.0,36,001,013512,36001013512
43,Census Tract 136.02; Albany County; New York,4503.0,79750.0,36,001,013602,36001013602
44,Census Tract 136.03; Albany County; New York,3032.0,86940.0,36,001,013603,36001013603
45,Census Tract 136.04; Albany County; New York,7495.0,113611.0,36,001,013604,36001013604
46,Census Tract 137.03; Albany County; New York,2343.0,110833.0,36,001,013703,36001013703
47,Census Tract 137.06; Albany County; New York,2054.0,171971.0,36,001,013706,36001013706
48,Census Tract 137.07; Albany County; New York,6004.0,131016.0,36,001,013707,36001013707
49,Census Tract 137.08; Albany County; New York,3457.0,91175.0,36,001,013708,36001013708
50,Census Tract 137.09; Albany County; New York,2766.0,118854.0,36,001,013709,36001013709
51,Census Tract 138.02; Albany County; New York,4573.0,128929.0,36,001,013802,36001013802
52,Census Tract 138.03; Albany County; New York,3694.0,75035.0,36,001,013803,36001013803
53,Census Tract 138.04; Albany County; New York,3922.0,86500.0,36,001,013804,36001013804
54,Census Tract 139.01; Albany County; New York,2354.0,95083.0,36,001,013901,36001013901
55,Census Tract 139.02; Albany County; New York,5351.0,102090.0,36,001,013902,36001013902
56,Census Tract 140.01; Albany County; New York,3467.0,83951.0,36,001,014001,36001014001
57,Census Tract 140.02; Albany County; New York,5260.0,85276.0,36,001,014002,36001014002
58,Census Tract 141; Albany County; New York,5791.0,117931.0,36,001,014100,36001014100
59,Census Tract 142.01; Albany County; New York,6039.0,127486.0,36,001,014201,36001014201
60,Census Tract 142.02; Albany County; New York,6279.0,118472.0,36,001,014202,36001014202
61,Census Tract 142.03; Albany County; New York,6133.0,147373.0,36,001,014203,36001014203
