id,Station,Boro,2019,2023
119,1 Av (L),M,"5,345,371","5,745,700"
309,103 St (1),M,"3,766,055","2,892,314"
395,103 St (6),M,"4,039,570","2,601,308"
156,"103 St (B,C)",M,"1,498,363","1,033,211"
450,103 St-Corona Plaza (7),Q,"6,399,657","6,460,459"
193,104 St (A),Q,"536,924","363,436"
82,"104 St (J,Z)",Q,"774,888","591,761"
394,110 St (6),M,"3,316,061","2,096,322"
449,111 St (7),Q,"3,836,999","2,098,984"
194,111 St (A),Q,"760,163","466,344"
81,111 St (J),Q,"350,344","453,695"
440,"116 St (2,3)",M,"3,345,661","2,014,762"
393,116 St (6),M,"4,572,453","2,766,817"
154,"116 St (B,C)",M,"2,288,111","1,459,488"
307,116 St-Columbia University (1),M,"4,380,469","3,416,295"
80,"121 St (J,Z)",Q,"675,500","476,966"
306,125 St (1),M,"2,368,025","1,986,493"
439,"125 St (2,3)",M,"4,644,262","2,672,981"
392,"125 St (4,5,6)",M,"8,554,857","4,884,086"
153,"125 St (A,B,C,D)",M,"9,208,598","5,543,346"
438,"135 St (2,3)",M,"4,268,823","2,201,400"
152,"135 St (B,C)",M,"1,743,921","1,083,148"
305,137 St-City College (1),M,"3,874,783","2,738,004"
391,"138 St-Grand Concourse (4,5)",Bx,"1,035,878","785,271"
618,"14 St (A,C,E)/8 Av (L)",M,"14,239,275","10,863,467"
601,"14 St (F,M,1,2,3)/6 Av (L)",M,"14,736,035","11,328,347"
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"32,385,260","21,527,757"
304,145 St (1),M,"2,936,613","2,100,654"
437,145 St (3),M,"954,825","574,727"
151,"145 St (A,B,C,D)",M,"7,464,653","4,678,774"
603,"149 St-Grand Concourse (2,4,5)",Bx,"3,931,908","2,087,779"
241,"15 St-Prospect Park (F,G)",B,"1,964,534","1,390,166"
220,"155 St (B,D)",M,"1,123,868","585,619"
150,155 St (C),M,"895,036","539,511"
303,157 St (1),M,"3,739,786","2,288,380"
604,"161 St-Yankee Stadium (B,D,4)",Bx,"8,254,928","5,316,351"
149,163 St-Amsterdam Av (C),M,"1,390,312","840,255"
388,167 St (4),Bx,"2,653,237","1,901,393"
218,"167 St (B,D)",Bx,"2,734,530","1,411,144"
605,"168 St (A,C,1)",M,"6,156,288","5,161,102"
255,169 St (F),Q,"2,465,120","1,627,817"
387,170 St (4),Bx,"2,487,611","1,448,193"
217,"170 St (B,D)",Bx,"2,130,461","1,001,022"
428,"174 St (2,5)",Bx,"2,057,118","1,118,781"
216,"174-175 Sts (B,D)",Bx,"1,518,260","774,167"
147,175 St (A),M,"4,182,625","2,258,838"
385,176 St (4),Bx,"1,713,696","1,041,352"
66,18 Av (D),B,"1,942,617","1,336,402"
245,18 Av (F),B,"1,113,492","724,074"
74,18 Av (N),B,"1,179,756","1,190,431"
321,18 St (1),M,"2,649,616","1,813,302"
301,181 St (1),M,"3,523,536","2,416,958"
146,181 St (A),M,"3,404,841","1,751,997"
214,"182-183 Sts (B,D)",Bx,"1,513,443","824,845"
383,183 St (4),Bx,"1,779,224","1,188,844"
145,190 St (A),M,"1,535,450","951,786"
300,191 St (1),M,"2,333,160","1,682,168"
232,2 Av (F),M,"5,583,944","4,192,759"
67,20 Av (D),B,"1,578,971","1,125,752"
75,20 Av (N),B,"1,142,086","931,058"
298,207 St (1),M,"1,853,146","1,352,957"
282,21 St (G),Q,"535,536","448,606"
221,21 St-Queensbridge (F),Q,"3,516,992","1,579,379"
297,215 St (1),M,"527,505","459,810"
420,"219 St (2,5)",Bx,"979,390","490,047"
419,"225 St (2,5)",Bx,"1,187,486","589,541"
320,23 St (1),M,"4,627,755","3,154,290"
405,23 St (6),M,"8,659,806","5,409,296"
165,"23 St (C,E)",M,"7,272,610","4,370,344"
228,"23 St (F,M)",M,"8,619,473","5,423,352"
14,"23 St (R,W)",M,"7,085,694","4,260,867"
295,231 St (1),Bx,"2,919,305","1,894,047"
418,"233 St (2,5)",Bx,"1,445,532","845,056"
294,238 St (1),Bx,"1,204,095","959,752"
69,25 Av (D),B,"1,507,759","948,677"
31,25 St (R),B,"1,153,842","822,024"
319,28 St (1),M,"4,493,352","3,038,057"
404,28 St (6),M,"5,834,989","4,380,514"
13,"28 St (R,W)",M,"4,018,310","2,717,163"
118,3 Av (L),M,"1,700,456","1,564,084"
377,3 Av-138 St (6),Bx,"2,503,850","1,750,592"
434,"3 Av-149 St (2,5)",Bx,"6,768,255","3,333,256"
3,"30 Av (N,W)",Q,"5,230,182","3,015,519"
403,33 St (6),M,"8,934,900","5,666,586"
460,33 St-Rawson St (7),Q,"2,907,388","1,714,912"
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,"39,385,436","23,680,977"
471,34 St-Hudson Yards (7),M,"6,108,384","5,494,067"
318,"34 St-Penn Station (1,2,3)",M,"25,967,676","15,224,047"
164,"34 St-Penn Station (A,C,E)",M,"25,631,364","16,974,543"
5,"36 Av (N,W)",Q,"1,933,812","1,475,603"
32,"36 St (D,N,R)",B,"4,254,406","3,458,960"
272,"36 St (M,R)",Q,"1,383,420","769,239"
6,"39 Av (N,W)",Q,"761,816","805,613"
608,"4 Av (F,G)/9 St (R)",B,"3,924,882","2,832,325"
459,40 St-Lowery St (7),Q,"3,074,342","2,189,736"
33,45 St (R),B,"2,461,410","1,884,446"
270,"46 St (M,R)",Q,"2,609,445","1,662,115"
458,46 St-Bliss St (7),Q,"4,019,044","2,903,856"
225,"47-50 Sts-Rockefeller Center (B,D,F,M)",M,"18,604,810","11,387,612"
10,"49 St (N,R,W)",M,"7,410,041","5,566,042"
276,"5 Av-53 St (E,M)",M,"7,684,091","4,733,296"
8,"5 Av-59 St (N,R,W)",M,"4,995,128","3,485,505"
316,50 St (1),M,"8,134,360","5,893,837"
162,"50 St (C,E)",M,"6,902,595","4,857,531"
61,50 St (D),B,"976,988","753,338"
457,52 St (7),Q,"1,907,368","1,402,690"
34,53 St (R),B,"2,797,730","2,018,914"
62,55 St (D),B,"637,405","418,218"
224,57 St (F),M,"4,550,216","2,582,091"
9,"57 St-7 Av (N,Q,R,W)",M,"11,012,550","7,787,658"
35,"59 St (N,R)",B,"3,664,480","2,855,080"
614,"59 St-Columbus Circle (A,B,C,D,1)",M,"23,040,650","15,842,348"
263,"63 Dr-Rego Park (M,R)",Q,"4,753,706","3,033,839"
268,"65 St (M,R)",Q,"1,098,148","729,908"
314,66 St-Lincoln Center (1),M,"7,068,256","4,771,815"
262,"67 Av (M,R)",Q,"2,641,450","1,658,341"
399,68 St-Hunter College (6),M,"6,699,711","5,164,087"
455,69 St (7),Q,"1,564,387","1,391,674"
277,"7 Av (B,D,E)",M,"5,508,778","3,892,682"
41,"7 Av (B,Q)",B,"3,103,599","2,160,144"
240,"7 Av (F,G)",B,"3,675,218","2,688,069"
64,71 St (D),B,"1,722,921","1,069,576"
313,"72 St (1,2,3)",M,"12,379,560","9,086,110"
160,"72 St (B,C)",M,"2,837,041","2,343,378"
477,72 St (Q),M,"9,528,891","6,478,996"
616,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,"17,077,862","14,348,691"
260,"75 Av (E,F)",Q,"1,059,027","683,707"
85,"75 St-Elderts Ln (J,Z)",Q,"1,029,388","403,508"
398,77 St (6),M,"7,821,286","6,231,273"
37,77 St (R),B,"1,674,582","1,194,631"
312,79 St (1),M,"4,745,863","3,519,664"
65,79 St (D),B,"1,926,290","1,311,172"
71,8 Av (N),B,"3,801,700","2,561,457"
16,"8 St-New York University (R,W)",M,"5,434,212","3,780,675"
190,80 St (A),Q,"1,298,825","898,594"
159,"81 St-Museum of Natural History (B,C)",M,"4,407,607","3,531,009"
